Method,Age,Fate,Top genes,AP
GT-TC,20.0 (wks),Megakaryocyte,5,0.12000000000000001
gStatOT,22.0 (wks),Megakaryocyte,5,0.1362330992290355
StatOT,22.0 (wks),Megakaryocyte,5,0.0
GT-TC,22.0 (wks),Megakaryocyte,5,0.21666666666666667
gStatOT,23.0 (wks),Megakaryocyte,5,0.21624242424242426
StatOT,23.0 (wks),Megakaryocyte,5,0.0
GT-TC,23.0 (wks),Megakaryocyte,5,0.4
gStatOT,0.0 (yrs),Baso/Mast,5,0.7166666666666667
StatOT,0.0 (yrs),Baso/Mast,5,0.2829818153458204
GT-TC,0.0 (yrs),Baso/Mast,5,0.0
gStatOT,2.0 (yrs),Baso/Mast,5,0.0
StatOT,2.0 (yrs),Baso/Mast,5,1.0
GT-TC,2.0 (yrs),Baso/Mast,5,0.0
gStatOT,4.0 (yrs),Baso/Mast,5,0.0811141828468561
StatOT,4.0 (yrs),Baso/Mast,5,0.0006825938566552901
GT-TC,4.0 (yrs),Baso/Mast,5,0.065
gStatOT,10.0 (yrs),Baso/Mast,5,0.5138640132669983
StatOT,10.0 (yrs),Baso/Mast,5,0.2518310518310518
GT-TC,10.0 (yrs),Baso/Mast,5,0.2
gStatOT,12.0 (yrs),Baso/Mast,5,0.002531645569620253
StatOT,12.0 (yrs),Baso/Mast,5,0.0
GT-TC,12.0 (yrs),Baso/Mast,5,0.025
gStatOT,17.0 (yrs),Baso/Mast,5,0.3178400281888654
StatOT,17.0 (yrs),Baso/Mast,5,0.11530792195525275
GT-TC,17.0 (yrs),Baso/Mast,5,0.5
gStatOT,25.0 (yrs),Baso/Mast,5,0.29648876404494384
StatOT,25.0 (yrs),Baso/Mast,5,0.0
GT-TC,25.0 (yrs),Baso/Mast,5,0.7
gStatOT,32.0 (yrs),Baso/Mast,5,0.05516630885499228
StatOT,32.0 (yrs),Baso/Mast,5,0.0
GT-TC,32.0 (yrs),Baso/Mast,5,0.5483333333333333
gStatOT,35.0 (yrs),Baso/Mast,5,0.17009826579634163
StatOT,35.0 (yrs),Baso/Mast,5,0.0
GT-TC,35.0 (yrs),Baso/Mast,5,0.8
gStatOT,45.0 (yrs),Baso/Mast,5,0.20832139283709677
StatOT,45.0 (yrs),Baso/Mast,5,0.0
GT-TC,45.0 (yrs),Baso/Mast,5,0.78
gStatOT,53.0 (yrs),Baso/Mast,5,0.4865454545454545
StatOT,53.0 (yrs),Baso/Mast,5,0.22780694066728963
GT-TC,53.0 (yrs),Baso/Mast,5,0.6000000000000001
gStatOT,62.0 (yrs),Baso/Mast,5,0.262745995423341
StatOT,62.0 (yrs),Baso/Mast,5,0.0
GT-TC,62.0 (yrs),Baso/Mast,5,0.3666666666666667
gStatOT,76.0 (yrs),Baso/Mast,5,0.9028571428571428
StatOT,76.0 (yrs),Baso/Mast,5,0.7909090909090909
GT-TC,76.0 (yrs),Baso/Mast,5,0.47500000000000003
gStatOT,77.0 (yrs),Baso/Mast,5,0.86
StatOT,77.0 (yrs),Baso/Mast,5,0.0
GT-TC,77.0 (yrs),Baso/Mast,5,0.6
gStatOT,10.0 (wks),Baso/Mast,5,0.925
StatOT,10.0 (wks),Baso/Mast,5,0.9428571428571428
GT-TC,10.0 (wks),Baso/Mast,5,0.52
gStatOT,11.0 (wks),Baso/Mast,5,0.827027027027027
