Cell,sink
BM1_bcFCIM,False
BM1_bcFDDA,False
BM1_bcAXMZ,False
BM1_bcGAZW,False
BM1_bcCABK,False
BM1_bcBHRL,False
BM1_bcDGFR,False
BM1_bcFIUA,False
BM1_bcETSS,False
BM1_bcCLJI,False
BM1_bcAITZ,False
BM1_bcAEGX,False
BM1_bcGQDB,False
BM1_bcAKCW,False
BM1_bcIFKH,False
BM1_bcADBQ,False
BM1_bcEJYF,False
BM1_bcADOJ,False
BM1_bcHEIX,False
BM1_bcAPFJ,False
BM1_bcCVTN,False
BM1_bcGRGD,False
BM1_bcGLJL,False
BM1_bcABME,False
BM1_bcABTC,False
BM1_bcBFXT,False
BM1_bcFFKO,False
BM1_bcCUOX,False
BM1_bcARYT,False
BM1_bcEBSC,False
BM1_bcGIFG,False
BM1_bcEPQI,False
BM1_bcCKUE,False
BM1_bcASZB,False
BM1_bcGTJE,False
BM1_bcANIF,False
BM1_bcHOJV,False
BM1_bcEQJD,False
BM1_bcEWRQ,False
BM1_bcDYPE,False
BM1_bcIANC,False
BM1_bcFVEK,False
BM1_bcFMFC,False
BM1_bcBRDS,False
BM1_bcAZKD,False
BM1_bcEEDO,False
BM1_bcCZKL,False
BM1_bcIIGE,False
BM1_bcFWON,False
BM1_bcHDIY,False
BM1_bcFPMR,False
BM1_bcCDWD,False
BM1_bcDITD,False
BM1_bcBUUS,False
BM1_bcCHXT,False
BM1_bcFRGR,False
BM1_bcDOEH,False
BM1_bcGQEI,False
BM1_bcGRPI,False
BM1_bcHUOE,False
BM1_bcERMY,False
BM1_bcBWHV,False
BM1_bcBFFX,False
BM1_bcDGPC,False
BM1_bcDXDI,False
BM1_bcEBSX,False
BM1_bcDVXW,False
BM1_bcENAB,False
BM1_bcCSLA,False
BM1_bcFQXI,False
BM1_bcEHID,False
BM1_bcCFVI,False
BM1_bcEXUL,False
BM1_bcEVGB,False
BM1_bcBUXK,False
BM1_bcFYSH,False
BM1_bcCKJD,False
BM1_bcCEOO,False
BM1_bcBOMR,False
BM1_bcGTJM,False
BM1_bcCXFI,False
BM1_bcFAYO,False
BM1_bcALJA,False
BM1_bcICXG,False
BM1_bcDZGA,False
BM1_bcAJJT,False
BM1_bcBGMG,False
BM1_bcHFAV,False
BM1_bcFUHA,False
BM1_bcCHEV,False
BM1_bcFJRF,False
BM1_bcGQGQ,False
BM1_bcDOPH,False
BM1_bcAVOJ,False
BM1_bcCALX,False
BM1_bcIIIZ,True
BM1_bcHIAI,False
BM1_bcBNME,False
BM1_bcBFHB,False
BM1_bcCZZD,False
BM1_bcCKIE,False
BM1_bcDBDG,False
BM1_bcHTBE,False
BM1_bcFJXU,False
BM1_bcBJSO,False
BM1_bcGJTO,False
BM1_bcFZZD,False
BM1_bcDHJH,False
BM1_bcHKEB,False
BM1_bcCPUH,True
BM1_bcIJAS,False
BM1_bcHXSW,False
BM1_bcAGZS,False
BM1_bcBJAT,False
BM1_bcCVAF,True
BM1_bcHBFM,True
BM1_bcHRGJ,False
BM1_bcHTHK,False
BM1_bcEQGH,False
BM1_bcDRKW,False
BM1_bcCRGC,False
BM1_bcDRKL,False
BM1_bcDBZD,False
BM1_bcDFFL,False
BM1_bcAOLQ,False
BM1_bcBAOX,False
BM1_bcFVGW,False
BM1_bcBJDA,False
BM1_bcCLRS,False
BM1_bcDXVI,False
BM1_bcGUAG,False
BM1_bcGZIT,False
BM1_bcCHGC,False
BM1_bcFMWX,False
BM1_bcDSIO,True
BM1_bcFEWU,False
BM1_bcCPPV,False
BM1_bcFIER,False
BM1_bcGNVV,False
BM1_bcGCTK,False
BM1_bcGKBN,False
BM1_bcIDCD,False
BM1_bcCQAP,False
BM1_bcGKYL,False
BM1_bcBRKX,False
BM1_bcFNWZ,False
BM1_bcARCZ,False
BM1_bcGHDU,False
BM1_bcEEAR,True
BM1_bcCDAO,True
BM1_bcAFOU,False
BM1_bcFYEF,False
BM1_bcHUFO,False
BM1_bcBKCR,False
BM1_bcHIIU,False
BM1_bcHSVK,True
BM1_bcDWER,False
BM1_bcDJTX,False
BM1_bcCATK,False
BM1_bcCNTG,False
BM1_bcEOMA,False
BM1_bcEBUU,False
BM1_bcDNKG,False
BM1_bcBTAZ,False
BM1_bcDQDL,True
BM1_bcAUKS,False
BM1_bcHPCK,False
BM1_bcAXIN,False
BM1_bcCWYH,True
BM1_bcBJNG,False
BM1_bcAUOJ,False
BM1_bcBPLH,False
BM1_bcBDPM,False
BM1_bcHRNM,False
BM1_bcGJCQ,False
BM1_bcBIHO,False
BM1_bcGCJT,False
BM1_bcCUWP,False
BM1_bcCUQT,False
BM1_bcGGGM,False
BM1_bcCVEK,False
BM1_bcFBUG,True
BM1_bcEGVW,False
BM1_bcEKVM,False
BM1_bcEABL,False
BM1_bcEIGY,False
BM1_bcGJQO,False
BM1_bcDSIH,False
BM1_bcABCR,False
BM1_bcHRAY,False
BM1_bcDZAV,False
BM1_bcEZWC,False
BM1_bcCYAW,False
BM1_bcAWPY,False
BM1_bcEXDI,False
BM1_bcFHUB,False
BM1_bcBCDN,False
BM1_bcFGOM,False
BM1_bcAFNZ,False
BM1_bcCWPQ,False
BM1_bcGKQK,False
BM1_bcEYRK,False
BM1_bcGFJT,True
BM1_bcDVLR,False
BM1_bcAGDJ,False
BM1_bcDKWX,False
BM1_bcEBAT,False
BM1_bcCOIB,False
BM1_bcGLEJ,False
BM1_bcIJFA,False
BM1_bcFHRU,False
BM1_bcGREE,True
BM1_bcDOOM,False
BM1_bcAKOL,False
BM1_bcAJOL,False
BM1_bcDOAG,False
BM1_bcCOFL,False
BM1_bcFMYF,False
BM1_bcHQWJ,False
BM1_bcGGHG,False
BM1_bcGRDN,False
BM1_bcDRLN,True
BM1_bcFVVD,False
BM1_bcBGAA,False
BM1_bcENED,False
BM1_bcHHWO,False
BM1_bcHKMH,False
BM1_bcEAWM,False
BM1_bcCPCX,False
BM1_bcBKIV,False
BM1_bcGZMZ,False
BM1_bcAJTT,False
BM1_bcBIVK,False
BM1_bcHMMY,False
BM1_bcEXOO,False
BM1_bcFUDK,False
BM1_bcFQEW,False
BM1_bcHYNB,True
BM1_bcCKPC,False
BM1_bcDEKC,False
BM1_bcFNOF,False
BM1_bcFSOU,False
BM1_bcEPOH,False
BM1_bcDYFV,False
BM1_bcFPME,False
BM1_bcGBGR,False
BM1_bcAISI,True
BM1_bcAUTM,False
BM1_bcEWDE,False
BM1_bcHAEL,False
BM1_bcCEKO,True
BM1_bcFRQC,False
BM1_bcECZW,True
BM1_bcGGIQ,False
BM1_bcICBR,False
BM1_bcCQWA,False
BM1_bcDXDB,False
BM1_bcFOQK,False
BM1_bcBAZZ,False
BM1_bcHSME,False
BM1_bcDMFD,False
BM1_bcBEGV,False
BM1_bcCWOP,False
BM1_bcHEUQ,False
BM1_bcECNK,False
BM1_bcBILS,True
BM1_bcEJKI,False
BM1_bcAUMG,False
BM1_bcACLC,False
BM1_bcAUWF,False
BM1_bcGPOY,False
BM1_bcEOCI,False
BM1_bcDHXS,False
BM1_bcGHJL,False
BM1_bcDQFB,False
BM1_bcIFKV,False
BM1_bcASHQ,True
BM1_bcDYRW,False
BM1_bcHWQF,False
BM1_bcERUU,False
BM1_bcAZNJ,False
BM1_bcDMSG,False
BM1_bcEWAK,False
BM1_bcGQRB,False
BM1_bcAJSJ,True
BM1_bcCZYO,False
BM1_bcDVGX,False
BM1_bcCWEH,False
BM1_bcBOIO,False
BM1_bcBHSB,False
BM1_bcFKFV,True
BM1_bcALKV,False
BM1_bcGSRX,True
BM1_bcBTSY,True
BM1_bcHKFX,False
BM1_bcBBYN,False
BM1_bcCYCG,False
BM1_bcGSHH,False
BM1_bcGJVU,False
BM1_bcHXGF,False
BM1_bcCEIZ,False
BM1_bcDOZE,False
BM1_bcEIUT,False
BM1_bcCFVW,False
BM1_bcAKEA,True
BM1_bcAFCN,True
BM1_bcEGOO,False
BM1_bcEJGY,False
BM1_bcGEPI,False
BM1_bcAZUM,False
BM1_bcHBNJ,False
BM1_bcFFMK,False
BM1_bcBPZU,False
BM1_bcCLAS,False
BM1_bcEJQC,False
BM1_bcDMXA,False
BM1_bcBBKU,True
BM1_bcIFTM,False
BM1_bcEKRV,False
BM1_bcEJQF,False
BM1_bcCFNR,False
BM1_bcCJVQ,False
BM1_bcCHDI,True
BM1_bcBUYC,False
BM1_bcDKAE,False
BM1_bcBMAT,False
BM1_bcAZMX,False
BM1_bcBNOG,False
BM1_bcDACO,False
BM1_bcDKLE,False
BM1_bcECCC,False
BM1_bcEAMO,False
BM1_bcAVDK,False
BM1_bcGUEM,False
BM1_bcHREK,True
BM1_bcDAKK,False
BM1_bcGRPX,False
BM1_bcHAVP,False
BM1_bcGYLI,False
BM1_bcGISF,False
BM1_bcEHZM,False
BM1_bcBDMT,False
BM1_bcAEXH,True
BM1_bcATTL,True
BM1_bcCRUJ,False
BM1_bcGNRZ,False
BM1_bcHEYT,False
BM1_bcGYKZ,False
BM1_bcDXXY,False
BM1_bcGZGB,False
BM1_bcGPGF,False
BM1_bcCWQF,False
BM1_bcAOGD,False
BM1_bcALTW,False
BM1_bcHIUG,False
BM1_bcIIMX,False
BM1_bcHAPK,False
BM1_bcAJPN,False
BM1_bcBADJ,True
BM1_bcCZRI,False
BM1_bcHAMG,False
BM1_bcBBKA,False
BM1_bcAHNY,False
BM1_bcIDJF,False
BM1_bcHGFW,False
BM1_bcAQTX,False
BM1_bcCHYI,False
BM1_bcFMUG,False
BM1_bcGCXC,False
BM1_bcGESX,False
BM1_bcDHTR,False
BM1_bcEKEY,False
BM1_bcGGDG,False
BM1_bcCNBV,False
BM1_bcDDWH,False
BM1_bcEPLG,False
BM1_bcDLIM,False
BM1_bcEEZW,False
BM1_bcGORO,False
BM1_bcABLX,False
BM1_bcGCDC,False
BM1_bcFQSS,False
BM1_bcDKPJ,True
BM1_bcHHJB,False
BM1_bcAJKV,False
BM1_bcASIF,False
BM1_bcEHXE,False
BM1_bcEVJU,False
BM1_bcFFSJ,False
BM1_bcFISI,False
BM1_bcDUVM,False
BM1_bcBGRN,False
BM1_bcEYYC,False
BM1_bcDDTS,True
BM1_bcCEWO,False
BM1_bcAKAT,False
BM1_bcDTVA,False
BM1_bcFEGF,False
BM1_bcCWJV,False
BM1_bcATKW,False
BM1_bcCHIH,False
BM1_bcEBPL,False
BM1_bcFYXA,False
BM1_bcHTCA,False
BM1_bcCBAS,False
BM1_bcDLBH,True
BM1_bcATWG,True
BM1_bcDMTZ,True
BM1_bcCIUB,False
BM1_bcGLON,False
BM1_bcCCHB,False
BM1_bcAETC,False
BM1_bcIBXV,False
BM1_bcHKFK,False
BM1_bcIGZN,False
BM1_bcETZR,False
BM1_bcEIVC,False
